Date/Heure;Nom;Quantité;Sens;Taille;Tracking;Turbidité
2025-01-31 18:26:34.089;TRF;1;0;0;;3
2025-01-31 20:02:39.536;TRF;1;0;0;;3
2025-01-31 20:06:52.689;TRF;1;0;0;;3
2025-01-31 21:44:15.249;TRF;1;0;0;;3
2025-01-31 21:48:37.900;TRF;1;0;0;;3
2025-01-31 22:59:19.771;TRF;1;0;0;;3
2025-01-31 23:00:45.767;TRF;1;0;0;;3
2025-01-31 23:43:11.785;TRF;1;0;0;;3
2025-01-31 23:56:53.631;TRF;1;0;0;;3
2025-01-30 01:57:34.077;TRF;1;0;0;;3
2025-01-30 02:05:19.001;TRF;1;0;0;;3
2025-01-30 02:45:06.040;TRF;1;0;0;;3
2025-01-30 02:52:41.622;TRF;1;0;0;;3
2025-01-30 03:51:04.642;TRF;1;0;0;;3
2025-01-30 08:14:51.663;TRF;1;0;0;;3
2025-01-30 08:17:10.173;TRF;1;0;0;;3
2025-01-30 08:26:41.375;TRF;1;0;0;;3
2025-01-30 18:07:00.956;TRF;1;0;0;;3
2025-01-29 01:32:03.352;TRF;1;0;0;;3
2025-01-29 02:36:26.043;TRF;1;0;0;;3
2025-01-29 02:38:34.552;TRF;1;0;0;;3
2025-01-29 04:17:57.830;TRF;1;0;0;;3
2025-01-29 04:22:32.855;TRF;1;0;0;;3
2025-01-29 07:46:01.993;TRF;1;0;0;;3
2025-01-29 08:08:58.785;TRF;1;0;0;;3
2025-01-29 18:04:07.698;TRF;1;0;0;;3
2025-01-29 21:59:21.753;TRF;1;1;189;;3
2025-01-29 23:32:14.384;TRF;1;0;0;;3
2025-01-29 23:33:41.471;TRF;1;0;0;;3
2025-02-07 00:09:03.246;TRF;1;1;247;;3
2025-02-07 01:22:45.165;TRF;1;0;0;;3
2025-02-07 02:23:52.312;TRF;1;0;0;;3
2025-02-07 02:28:10.884;TRF;1;0;0;;3
2025-02-07 02:48:42.383;TRF;1;0;0;;3
2025-02-07 02:50:05.211;TRF;1;0;0;;3
2025-02-07 03:04:11.662;TRF;1;0;0;;3
2025-02-07 04:56:45.365;TRF;1;0;0;;3
